,word_count
1238,14
1239,18
1240,20
1241,18
1242,15
1243,14
1244,10
1245,29
1246,12
1247,14
1248,10
1249,21
1250,25
1251,26
1252,15
1253,23
1254,14
1255,22
1256,31
1257,27
1258,9
1259,19
1260,28
1261,19
1262,14
1263,11
1264,21
1265,17
1266,26
1267,6
1268,15
1269,18
1270,23
1271,17
1272,30
1273,31
1274,11
1275,18
1276,18
1277,20
1278,25
1279,20
1280,24
1281,18
1282,28
1283,22
1284,14
1285,14
1286,20
1287,15
1288,16
1289,9
1290,16
1291,25
1292,21
1293,18
1294,19
1295,23
1296,26
1297,19
1298,9
1299,9
1300,25
1301,29
1302,11
1303,19
1304,15
1305,36
1306,16
1307,19
1308,22
1309,22
1310,25
1311,23
1312,18
1313,16
1314,24
1315,27
1316,12
1317,17
1318,22
1319,10
1320,26
1321,20
1322,27
1323,21
1324,16
1325,22
1326,14
1327,21
1328,20
1329,16
1330,22
1331,28
1332,20
1333,21
1334,26
1335,11
1336,18
1337,16
1338,14
1339,17
1340,12
1341,17
1342,16
1343,18
1344,11
1345,7
1346,10
1347,18
1348,11
1349,33
1350,12
1351,25
1352,30
1353,19
1354,28
1355,24
1356,15
1357,20
1358,18
1359,23
1360,14
1361,18
1362,21
1363,24
1364,18
1365,27
1366,18
1367,17
1368,22
1369,17
1370,24
1371,15
1372,17
1373,17
1374,25
1375,14
1376,27
1377,22
1378,14
1379,22
1380,19
1381,17
1382,27
1383,9
1384,10
1385,22
1386,19
1387,16
1388,26
1389,20
1390,21
1391,10
1392,19
1393,19
1394,17
1395,33
1396,24
1397,24
1398,14
1399,21
1400,18
1401,25
1402,27
1403,11
1404,21
1405,25
1406,26
1407,15
1408,12
1409,23
1410,24
1411,22
1412,21
1413,15
1414,16
1415,30
1416,19
1417,13
1418,18
1419,23
1420,18
1421,27
1422,18
1423,21
1424,14
1425,20
1426,17
1427,9
1428,13
1429,12
1430,18
1431,25
1432,18
1433,15
1434,19
1435,16
1436,14
1437,24
1438,19
1439,23
1440,20
1441,24
1442,12
1443,16
1444,18
1445,18
1446,16
1447,27
1448,20
1449,21
1450,14
1451,13
1452,24
1453,18
1454,34
1455,27
1456,17
1457,33
1458,20
1459,22
1460,20
1461,13
1462,24
1463,14
1464,21
1465,28
1466,18
1467,21
1468,21
1469,30
1470,20
1471,14
1472,20
1473,18
1474,24
1475,13
1476,20
1477,13
1478,19
1479,33
1480,15
1481,25
1482,15
1483,32
1484,27
1485,16
1486,18
1487,20
1488,26
1489,22
1490,24
1491,15
1492,10
1493,16
1494,23
1495,28
1496,27
1497,21
1498,14
1499,21
1500,26
1501,10
1502,20
1503,15
1504,12
1505,25
1506,20
1507,24
1508,19
1509,11
1510,31
1511,15
1512,15
1513,12
1514,17
1515,24
1516,13
1517,14
1518,16
1519,27
1520,23
1521,10
1522,17
1523,25
1524,22
1525,27
1526,19
1527,23
1528,17
1529,24
1530,23
1531,20
1532,12
1533,16
1534,17
1535,28
1536,22
1537,26
1538,21
1539,17
1540,23
1541,10
1542,21
1543,24
1544,20
1545,23
1546,27
1547,15
1548,16
1549,15
1550,28
1551,16
1552,19
1553,22
1554,10
1555,21
1556,24
1557,28
1558,20
1559,5
1560,20
1561,25
1562,11
1563,22
1564,13
1565,23
1566,12
1567,11
1568,19
1569,18
1570,20
1571,27
1572,18
1573,25
1574,17
1575,19
1576,25
1577,21
1578,22
1579,25
1580,11
1581,32
1582,21
